Unnamed: 0,State,District,Persons,Males,Females,Growth Rate,Rural,Number of Households,Household Size per Household,Females per 1000 Males,"Sex Ratio,0-6 Year Olds",Literate Persons,Literacy Rate,Total Educated,Total Uneducated,Below Primary,Primary,Middle,Matric.Higher.Secondary.Diploma,Graduate Degree or Above,1st Religion Name,1st Religion Population,2nd Religion Name,2nd Religion Population,3rd Religion Name,3rd Religion Population,Drinking Water Facilities,Safe Drinking Water Facilities,Electric Supply,Primary School,Middle Schools,Secondary Schools,Medical Facilities,Primary Health Centers,Communication Facilities,Bus Services,Paved Approach Road,Mud Approach Road,Permanent Housing Rate,Semi-Permanent Housing Rate,Temporary Housing Rate,Rate of Clean Water Facilities,Communication Facilities per 1000 People,Drinking Facilities per 1000 People,Medical Facilities per 1000 People,Permanent Housing,Semi-Permanent Housing,Temporary Housing,Total Housing,Religion 1 Percent Population,Religion 2 Percent Population,Religion 3 Percent Population,Rural Percent Population,Female to Male Ratio,District Name
1,AN,"District Andamans (01), Andaman & Nicobar Islands (35)",314084,170319,143765,30.14,197886,70167.0,4.0,844.0,959.0,226600,82.49,226600.0,1623.0,48339.0,62233.0,49731.0,50748.0,13909.0,Hindus,235862,Christians,49033,Muslims,27134,331.0,293.0,233.0,185.0,83,71,102.0,16,161.0,187,201,243,0.0028699999999999997,0.00391,0.0032,0.8851963746223565,0.5126017243794654,1.053858203537907,0.324753887495065,901.0,1228.0,1005.0,3134.0,0.7509519746309904,0.15611428789750512,0.08639090179697151,0.6300416449102788,0.844,District Andamans 
2,AN,"District Nicobars (02), Andaman & Nicobar Islands (35)",42068,22653,19415,7.19,42068,8075.0,5.0,857.0,936.0,26535,72.35,26535.0,346.0,5062.0,8544.0,6439.0,5150.0,994.0,Christians,28145,Hindus,10727,Muslims,2131,169.0,163.0,96.0,53.0,25,22,38.0,4,36.0,49,51,111,0.0028000000000000004,0.0033299999999999996,0.00387,0.9644970414201184,0.8557573452505467,4.017305315203956,0.9032994199866882,118.0,140.0,163.0,421.0,0.669035846724351,0.25499191784729486,0.05065608063135875,1.0,0.857,District Nicobars 
4,Andhra,"District Nizamabad (02), Andhra Pradesh (28)",2345685,1162905,1182780,14.98,1920947,484588.0,5.0,1017.0,958.0,1044788,52.02,1044788.0,43604.0,288554.0,304556.0,106517.0,249549.0,51926.0,Hindus,1983275,Muslims,338824,Christians,16204,854.0,854.0,854.0,839.0,417,256,614.0,50,602.0,746,760,82,0.00528,0.00376,0.00096,1.0,0.2566414501520877,0.3640727548669152,0.26175722656707956,12385.0,8820.0,2252.0,23457.0,0.8454992891202356,0.144445652336098,0.006908003419043904,0.8189279464207684,1.017,District Nizamabad 
5,Andhra,"District Karimnagar (03), Andhra Pradesh (28)",3491822,1747968,1743854,14.47,2813010,813797.0,4.0,998.0,961.0,1661089,54.9,1661089.0,57595.0,445208.0,478883.0,189226.0,409110.0,81001.0,Hindus,3251834,Muslims,213811,Christians,20576,1047.0,1046.0,1047.0,1039.0,668,391,863.0,70,795.0,912,823,218,0.005579999999999999,0.00364,0.00078,0.9990448901623686,0.22767483565886235,0.2998434628111055,0.24714890965232475,19484.0,12710.0,2724.0,34918.0,0.9312714107420138,0.06123192992082643,0.00589262568366887,0.8055994835933791,0.998,District Karimnagar 
6,Andhra,"District Medak (04), Andhra Pradesh (28)",2670097,1352446,1317651,17.29,2286573,521018.0,5.0,974.0,964.0,1171134,51.65,1171134.0,56841.0,339163.0,322529.0,118592.0,282352.0,51608.0,Hindus,2334169,Muslims,296486,Christians,34651,1225.0,1225.0,1225.0,1215.0,555,274,659.0,58,803.0,1007,978,239,0.00493,0.00426,0.0008100000000000001,1.0,0.3007381379777589,0.45878483066345527,0.24680751298548328,13164.0,11375.0,2163.0,26702.0,0.8741888403305198,0.11103941167680426,0.01297743115699542,0.8563632706976563,0.974,District Medak 
8,Andhra,"District Rangareddi (06), Andhra Pradesh (28)",3575064,1839227,1735837,37.41,1637227,742590.0,5.0,944.0,959.0,2034381,66.16,2034381.0,78742.0,404250.0,489521.0,193364.0,607300.0,260503.0,Hindus,3063118,Muslims,408281,Christians,89893,860.0,860.0,858.0,839.0,405,238,422.0,30,638.0,713,731,122,0.007859999999999999,0.00182,0.00031,1.0,0.17845834368279842,0.24055513411787874,0.11803984488109863,28100.0,6507.0,1108.0,35715.0,0.8568008852428936,0.11420243106137401,0.02514444496657962,0.4579573960074561,0.944,District Rangareddi 
9,Andhra,"District Mahbubnagar (07), Andhra Pradesh (28)",3513934,1782340,1731594,13.97,3142579,688212.0,5.0,972.0,951.0,1317521,44.41,1317521.0,66105.0,371893.0,353924.0,128269.0,329607.0,67575.0,Hindus,3193932,Muslims,296975,Christians,18800,1475.0,1468.0,1477.0,1456.0,658,335,881.0,76,1044.0,1230,1127,340,0.00399,0.0034700000000000004,0.00254,0.9952542372881356,0.2971029051769327,0.4197574570267968,0.2507161489088867,14021.0,12193.0,8925.0,35139.0,0.9089334062620413,0.08451353952578507,0.0053501289437991725,0.8943193013869924,0.972,District Mahbubnagar 
10,Andhra,"District Nalgonda (08), Andhra Pradesh (28)",3247982,1651990,1595992,13.55,2815304,723015.0,4.0,966.0,951.0,1595643,57.15,1595643.0,67688.0,474835.0,439802.0,175590.0,352049.0,85612.0,Hindus,3040212,Muslims,170553,Christians,32452,1124.0,1124.0,1124.0,1098.0,599,367,872.0,69,826.0,1020,934,185,0.00501,0.0026899999999999997,0.0023,1.0,0.25431175419075597,0.346061031126404,0.268474394254648,16272.0,8737.0,7470.0,32479.0,0.9360310494331557,0.052510451104716714,0.009991434681596141,0.8667855917920727,0.966,District Nalgonda 
11,Andhra,"District Warangal (09), Andhra Pradesh (28)",3246004,1644895,1601109,14.63,2622792,729110.0,4.0,973.0,955.0,1595745,57.13,1595745.0,62694.0,428105.0,418774.0,174537.0,411463.0,99917.0,Hindus,3028537,Muslims,177217,Christians,33354,984.0,984.0,984.0,971.0,587,340,826.0,84,735.0,864,652,321,0.00499,0.0032799999999999995,0.00172,1.0,0.22643225331823372,0.3031419554627782,0.25446672277668175,16198.0,10647.0,5583.0,32428.0,0.9330047036294472,0.05459543487931623,0.010275403234253562,0.8080063980204584,0.973,District Warangal 
12,Andhra,"District Khammam (10), Andhra Pradesh (28)",2578927,1305543,1273384,15.78,2068066,601659.0,4.0,975.0,970.0,1267944,56.89,1267944.0,40606.0,362116.0,377075.0,139285.0,275834.0,72950.0,Hindus,2406066,Muslims,137639,Christians,30777,1100.0,1090.0,1100.0,1000.0,417,253,921.0,44,609.0,739,604,475,0.00464,0.00125,0.00411,0.990909090909091,0.23614472220423455,0.4265339809928703,0.35712526954039414,11966.0,3224.0,10599.0,25789.0,0.9329717359196286,0.05337064600897971,0.011934033030015972,0.8019094763054557,0.975,District Khammam 
13,Andhra,"District Srikakulam (11), Andhra Pradesh (28)",2537593,1260020,1277573,8.93,2258934,582377.0,4.0,1014.0,967.0,1217659,55.31,1217659.0,59831.0,314768.0,406889.0,140816.0,236099.0,59134.0,Hindus,2513087,Christians,14199,Muslims,7759,1715.0,1713.0,1715.0,1645.0,511,273,652.0,67,925.0,1009,1153,461,0.0047799999999999995,0.0008699999999999999,0.00435,0.9988338192419826,0.36451866000576133,0.6758372993620332,0.2569363960256826,12130.0,2208.0,11039.0,25377.0,0.9903428169923231,0.0055954599496451955,0.00305762192755103,0.89018766996914,1.014,District Srikakulam 
14,Andhra,"District Vizianagaram (12), Andhra Pradesh (28)",2249254,1119541,1129713,6.36,1836859,514912.0,4.0,1009.0,979.0,997482,51.07,997482.0,41776.0,256539.0,345163.0,107395.0,191992.0,54462.0,Hindus,2214541,Christians,15495,Muslims,15472,1453.0,1374.0,1455.0,1371.0,352,194,649.0,56,903.0,732,822,433,0.00499,0.0005200000000000001,0.0045000000000000005,0.9456297315898142,0.4014664417624688,0.6459919600009603,0.28854011152141995,11224.0,1170.0,10122.0,22516.0,0.9845668830643405,0.00688895073655532,0.006878725123974438,0.8166525434655223,1.009,District Vizianagaram 
